,1111111111,1111114444,1111144447,1111223344,1111234444,1111234567,1111444444,1111444477,1111556677,1114556677,1234556677,1455666777
0,0.419,0.421,0.427,0.433,0.429,0.431,0.404,0.433,0.44,0.441,0.44,0.434
1,0.314,0.328,0.319,0.324,0.326,0.325,0.308,0.327,0.327,0.33,0.332,0.328
2,0.28,0.285,0.289,0.291,0.297,0.29,0.279,0.293,0.302,0.298,0.304,0.299
3,0.254,0.261,0.267,0.265,0.269,0.269,0.253,0.264,0.276,0.274,0.283,0.289
4,0.239,0.243,0.249,0.253,0.254,0.253,0.239,0.252,0.256,0.264,0.273,0.283
5,0.225,0.226,0.234,0.242,0.234,0.238,0.223,0.238,0.247,0.251,0.261,0.268
6,0.213,0.216,0.222,0.223,0.219,0.229,0.217,0.227,0.239,0.246,0.251,0.263
7,0.197,0.205,0.208,0.212,0.208,0.217,0.199,0.214,0.228,0.233,0.245,0.253
8,0.191,0.197,0.199,0.2,0.201,0.208,0.195,0.205,0.226,0.224,0.238,0.252
9,0.182,0.191,0.195,0.192,0.194,0.202,0.19,0.198,0.217,0.22,0.228,0.245
10,0.174,0.177,0.191,0.185,0.184,0.199,0.187,0.189,0.211,0.218,0.225,0.243
11,0.17,0.176,0.182,0.18,0.181,0.194,0.178,0.185,0.211,0.216,0.222,0.238
12,0.164,0.172,0.179,0.175,0.176,0.187,0.172,0.178,0.205,0.208,0.219,0.235
13,0.157,0.166,0.172,0.172,0.166,0.184,0.168,0.18,0.196,0.21,0.218,0.231
14,0.152,0.161,0.168,0.165,0.164,0.181,0.161,0.173,0.201,0.201,0.217,0.233
15,0.15,0.156,0.165,0.161,0.158,0.181,0.159,0.168,0.201,0.197,0.216,0.223
16,0.146,0.149,0.163,0.158,0.154,0.178,0.157,0.167,0.195,0.198,0.211,0.227
17,0.144,0.146,0.159,0.155,0.151,0.17,0.152,0.163,0.195,0.197,0.21,0.223
18,0.14,0.146,0.154,0.152,0.144,0.173,0.147,0.165,0.191,0.194,0.208,0.22
19,0.136,0.144,0.156,0.149,0.143,0.167,0.147,0.159,0.192,0.192,0.205,0.218
20,0.135,0.141,0.15,0.147,0.141,0.167,0.141,0.158,0.188,0.193,0.207,0.22
21,0.133,0.14,0.148,0.144,0.138,0.166,0.141,0.153,0.192,0.187,0.202,0.216
22,0.13,0.139,0.145,0.139,0.138,0.158,0.143,0.153,0.187,0.189,0.201,0.221
23,0.129,0.135,0.143,0.139,0.133,0.155,0.141,0.149,0.184,0.188,0.201,0.218
24,0.126,0.133,0.142,0.138,0.131,0.155,0.137,0.148,0.182,0.193,0.202,0.215
25,0.124,0.131,0.137,0.137,0.13,0.155,0.139,0.149,0.181,0.185,0.2,0.216
26,0.121,0.129,0.141,0.132,0.131,0.16,0.132,0.148,0.183,0.184,0.202,0.218
27,0.12,0.127,0.137,0.133,0.127,0.156,0.13,0.145,0.181,0.179,0.195,0.218
28,0.118,0.123,0.134,0.131,0.122,0.151,0.132,0.145,0.176,0.184,0.199,0.214
29,0.117,0.122,0.132,0.127,0.121,0.153,0.131,0.14,0.178,0.18,0.203,0.217
30,0.114,0.12,0.133,0.127,0.123,0.149,0.129,0.143,0.185,0.176,0.191,0.21
31,0.113,0.12,0.132,0.128,0.12,0.148,0.127,0.14,0.179,0.176,0.196,0.205
32,0.114,0.12,0.13,0.124,0.118,0.149,0.125,0.139,0.172,0.178,0.189,0.204
33,0.113,0.118,0.129,0.122,0.118,0.143,0.127,0.138,0.176,0.176,0.19,0.203
34,0.11,0.117,0.129,0.12,0.117,0.143,0.119,0.137,0.176,0.173,0.196,0.202
35,0.108,0.117,0.127,0.121,0.115,0.146,0.12,0.136,0.176,0.173,0.186,0.207
36,0.108,0.114,0.125,0.121,0.117,0.147,0.121,0.138,0.171,0.172,0.188,0.199
37,0.109,0.113,0.122,0.119,0.114,0.144,0.121,0.136,0.169,0.172,0.189,0.202
38,0.107,0.113,0.126,0.117,0.112,0.142,0.118,0.137,0.172,0.174,0.187,0.2
39,0.107,0.114,0.123,0.115,0.112,0.144,0.118,0.135,0.172,0.169,0.188,0.2
40,0.104,0.111,0.123,0.116,0.111,0.138,0.118,0.136,0.172,0.171,0.183,0.203
41,0.103,0.11,0.119,0.115,0.112,0.139,0.116,0.138,0.169,0.173,0.183,0.202
42,0.104,0.108,0.121,0.112,0.113,0.14,0.115,0.136,0.169,0.166,0.184,0.199
43,0.101,0.107,0.117,0.11,0.11,0.139,0.114,0.137,0.169,0.169,0.175,0.197
44,0.099,0.109,0.117,0.109,0.11,0.139,0.113,0.134,0.17,0.164,0.173,0.2
45,0.1,0.107,0.118,0.109,0.11,0.135,0.111,0.132,0.165,0.169,0.177,0.194
46,0.097,0.106,0.117,0.107,0.112,0.136,0.11,0.134,0.168,0.171,0.18,0.195
47,0.098,0.106,0.116,0.108,0.109,0.135,0.109,0.132,0.167,0.167,0.179,0.194
48,0.099,0.106,0.116,0.109,0.11,0.137,0.107,0.131,0.168,0.165,0.182,0.189
49,0.097,0.107,0.117,0.106,0.107,0.138,0.107,0.127,0.163,0.167,0.186,0.193
50,0.095,0.105,0.118,0.107,0.106,0.137,0.109,0.132,0.164,0.163,0.183,0.203
51,0.096,0.106,0.117,0.108,0.106,0.135,0.107,0.13,0.168,0.164,0.179,0.196
52,0.094,0.105,0.118,0.106,0.103,0.135,0.107,0.126,0.167,0.167,0.176,0.201
53,0.094,0.103,0.113,0.106,0.105,0.132,0.106,0.128,0.166,0.171,0.179,0.199
54,0.092,0.103,0.116,0.106,0.106,0.133,0.104,0.127,0.162,0.166,0.177,0.198
55,0.094,0.105,0.113,0.105,0.102,0.131,0.105,0.124,0.165,0.165,0.182,0.202
56,0.093,0.105,0.114,0.104,0.101,0.135,0.104,0.122,0.171,0.163,0.183,0.2
57,0.094,0.102,0.117,0.105,0.101,0.131,0.103,0.125,0.163,0.162,0.18,0.2
58,0.092,0.101,0.113,0.103,0.102,0.132,0.105,0.123,0.161,0.165,0.182,0.2
59,0.092,0.101,0.11,0.104,0.102,0.132,0.107,0.124,0.163,0.164,0.174,0.196
60,0.091,0.099,0.108,0.102,0.101,0.131,0.104,0.126,0.166,0.163,0.177,0.192
61,0.088,0.099,0.108,0.102,0.1,0.131,0.105,0.124,0.165,0.156,0.171,0.194
62,0.087,0.102,0.112,0.102,0.101,0.131,0.105,0.126,0.158,0.162,0.178,0.196
63,0.089,0.101,0.108,0.102,0.099,0.13,0.103,0.123,0.157,0.158,0.171,0.198
64,0.089,0.099,0.109,0.099,0.096,0.131,0.104,0.119,0.16,0.165,0.173,0.198
65,0.087,0.098,0.11,0.102,0.097,0.132,0.102,0.119,0.157,0.164,0.172,0.196
66,0.088,0.099,0.108,0.103,0.095,0.129,0.102,0.122,0.156,0.162,0.174,0.196
67,0.089,0.098,0.109,0.101,0.095,0.13,0.104,0.118,0.153,0.162,0.175,0.192
68,0.086,0.098,0.108,0.102,0.095,0.129,0.101,0.121,0.155,0.161,0.175,0.2
69,0.086,0.096,0.108,0.098,0.095,0.126,0.098,0.119,0.158,0.164,0.173,0.195
70,0.087,0.096,0.111,0.097,0.096,0.128,0.1,0.119,0.162,0.161,0.17,0.188
71,0.088,0.095,0.111,0.098,0.095,0.127,0.1,0.123,0.158,0.157,0.174,0.199
72,0.087,0.097,0.11,0.097,0.098,0.128,0.098,0.122,0.158,0.16,0.167,0.196
73,0.085,0.098,0.108,0.096,0.098,0.13,0.098,0.122,0.161,0.162,0.175,0.19
74,0.087,0.096,0.11,0.095,0.097,0.129,0.097,0.121,0.155,0.161,0.171,0.183
75,0.087,0.095,0.111,0.096,0.097,0.123,0.097,0.121,0.16,0.165,0.17,0.19
76,0.087,0.095,0.109,0.096,0.096,0.126,0.098,0.12,0.157,0.161,0.175,0.2
77,0.086,0.094,0.109,0.095,0.096,0.127,0.098,0.121,0.158,0.159,0.174,0.197
78,0.087,0.096,0.107,0.095,0.093,0.128,0.095,0.124,0.153,0.162,0.174,0.201
79,0.087,0.094,0.106,0.096,0.094,0.128,0.097,0.12,0.154,0.16,0.173,0.193
80,0.087,0.091,0.107,0.097,0.093,0.125,0.098,0.12,0.155,0.153,0.173,0.194
81,0.086,0.092,0.103,0.095,0.093,0.125,0.1,0.122,0.156,0.155,0.17,0.191
82,0.084,0.091,0.101,0.095,0.092,0.123,0.098,0.121,0.154,0.159,0.174,0.194
83,0.085,0.091,0.106,0.094,0.094,0.127,0.097,0.118,0.153,0.158,0.17,0.198
84,0.083,0.092,0.102,0.096,0.095,0.124,0.095,0.117,0.159,0.159,0.171,0.191
85,0.084,0.091,0.107,0.093,0.093,0.122,0.097,0.119,0.158,0.159,0.171,0.192
86,0.084,0.092,0.105,0.094,0.095,0.126,0.095,0.119,0.159,0.159,0.17,0.193
87,0.084,0.089,0.104,0.093,0.094,0.126,0.097,0.116,0.153,0.158,0.176,0.192
88,0.083,0.089,0.104,0.094,0.095,0.122,0.098,0.12,0.156,0.157,0.176,0.196
89,0.082,0.09,0.101,0.094,0.093,0.123,0.095,0.123,0.159,0.159,0.175,0.198
90,0.081,0.091,0.102,0.094,0.093,0.122,0.097,0.122,0.159,0.162,0.172,0.197
91,0.081,0.092,0.101,0.095,0.093,0.125,0.095,0.118,0.158,0.16,0.169,0.196
92,0.081,0.091,0.101,0.094,0.095,0.125,0.095,0.117,0.161,0.155,0.172,0.192
93,0.082,0.091,0.1,0.094,0.095,0.126,0.096,0.117,0.16,0.153,0.167,0.195
94,0.083,0.088,0.104,0.093,0.092,0.124,0.097,0.117,0.159,0.153,0.166,0.2
95,0.081,0.089,0.102,0.093,0.092,0.127,0.094,0.116,0.152,0.156,0.166,0.199
96,0.081,0.087,0.104,0.091,0.091,0.127,0.096,0.117,0.156,0.15,0.172,0.194
97,0.079,0.088,0.104,0.091,0.089,0.127,0.094,0.115,0.164,0.158,0.169,0.2
98,0.08,0.09,0.104,0.092,0.088,0.124,0.094,0.118,0.16,0.155,0.179,0.193
99,0.081,0.09,0.103,0.091,0.089,0.124,0.093,0.116,0.159,0.158,0.177,0.194
